,Rating,Reviews,,Ratings
10,4.2 out of 5,"1.Display clearity is not as expected
2. Battery performance is poor 2Days
3. SPO2, Heart & Step counting is inaccurate.
4.Looks & Build quality is awesome.",,4.2 
11,4.2 out of 5,"1.Display clearity is not as expected
2. Battery performance is poor 2Days
3. SPO2, Heart & Step counting is inaccurate.
4.Looks & Build quality is awesome.",,4.2 
12,4 out of 5," Most smartwatches and smartband offer more or less of similar functionalities except for the ones where we can take calls on the watch itself. I wanted to get an Apple Watch for my wife as I was impressed by the design but fortunately I found this Noise ColorFit Pro 2 which looks very similar and premium like the Apple watch. Bought this one for Rs.2999.

----------------------
📦 IN THE BOX
----------------------
፨ The smart watch module with screen protector applied
፨ 22mm wide TPU strap
፨ Charging cable
፨ Instruction Manual and Warranty Registration card

--------------------
⌚ FEATURES
--------------------
፨ 1.3 inch 240x240 capacitive display
፨ Curved glass with anti-fingerprint coating,
፨ IP68 Full dustproof and waterproof
፨ 210 mah battery - 7 to 10 days usage, 45 days standby
፨ Bluetooth 5.0 BLE
፨ 24/7 heart Rate sensor, sedentary alarm, breathe feature, and usual health and sleep monitoring.
፨ App, message, social media and call notifications.
፨ Music control
፨ Menstrual cycle tracking
፨ 9 sports mode - Walk, Yoga, Spin, Run, Climb, Workout, Bike, Hike, Treadmill.

---------------------
🗓️ MY USAGE
---------------------
፨ At just 35g weight and 22mm TPU band makes this band the very comfortable to wear. Also the strap is skin friendly and I didn’t get allergy with sweat on this band.
፨ The straps is easy to swap and replace if required and uses the spring pin type.
፨ The charging is a magnetic ping type and there is no need to remove straps or do anything. I felt this type of charging the easiest of all.
፨ The looks is very premium, though is made up of polycarbonate, the grey and black colors, the curved display on the sides and the size make it look like an Apple Watch.
፨ There are only 5 of watch faces and some of them are like the Apple watch face design. As of now the watch faces are limited and customization is limited, I hope customizations will be made available.
፨ The display is beautiful and under direct sunlight I found the watch display visible, though not the best visibility but to a certain extent.
፨ There is 1 button the side which looks like the watch crown and it acts as the function button and return button. I found it easy to navigate using the touch display and using this button.
፨ The IP68 certification means now I I don't have to worry about protection from water even more than 1m depth (IP_8) and also no need to worry about dirt (IP6_).
፨ Health, fitness and sleep tracking is very accurate in my opinion, and surprisingly the NoiseFit sport app is also good. The breathe is just to take a break and just asks us to take a deep breathe. I found using a continuous heart rate sensor get the battery under 7 days and when this feature is turned off, it takes to almost 10 days.
፨ The sleep, heart rate and health tracking are pretty accurate in my opinion. Most of the features available in smart bands and basic smart watches were available.
፨ I can now read messages and notification from the band easily. From the app I was able to turn off and on what notifications need to be shown on the watch and notifications can be enabled for vibrations.
፨ There are some quick access shortcuts from the watch like find my phone, turn off/on continuous heart rate monitoring, Do not Disturb, wrist. The female health care feature of menstrual cycle and ovulations cycle is a nice add in my opinion.

-------------------------
💖 WHAT I LIKED
-------------------------
◾ The premium design and great display. Much better than other smartwatches and bands in this category in my opinion.
◾ Battery life of 7 to 10 days.
◾ IPX68 dust and waterproof.
◾ Pretty accurate fitness, health and sleep monitoring
◾ Better control & display of calls, messages and music from the band

-------------------------------------------------
♻️ WHAT I FELT CAN BE IMPROVED
-------------------------------------------------
◾ More exercise or activities could have been included like Badminton etc.
◾ Only 5 watch faces available but heard there will be more added this year.

-------------------
🍱 OVERALL
-------------------
The MiBand 4 is definitely feature rich and Noise ColorFit Pro 2 has similar or a bit more features, I found this one much better in areas like build, design, charging. I don't have a Honor Band so I can't compare but at this price category in my perspective this band is the best. 🥇",,4 
13,4 out of 5," Most smartwatches and smartband offer more or less of similar functionalities except for the ones where we can take calls on the watch itself. I wanted to get an Apple Watch for my wife as I was impressed by the design but fortunately I found this Noise ColorFit Pro 2 which looks very similar and premium like the Apple watch. Bought this one for Rs.2999.

----------------------
📦 IN THE BOX
----------------------
፨ The smart watch module with screen protector applied
፨ 22mm wide TPU strap
፨ Charging cable
፨ Instruction Manual and Warranty Registration card

--------------------
⌚ FEATURES
--------------------
፨ 1.3 inch 240x240 capacitive display
፨ Curved glass with anti-fingerprint coating,
፨ IP68 Full dustproof and waterproof
፨ 210 mah battery - 7 to 10 days usage, 45 days standby
፨ Bluetooth 5.0 BLE
፨ 24/7 heart Rate sensor, sedentary alarm, breathe feature, and usual health and sleep monitoring.
፨ App, message, social media and call notifications.
፨ Music control
፨ Menstrual cycle tracking
፨ 9 sports mode - Walk, Yoga, Spin, Run, Climb, Workout, Bike, Hike, Treadmill.

---------------------
🗓️ MY USAGE
---------------------
፨ At just 35g weight and 22mm TPU band makes this band the very comfortable to wear. Also the strap is skin friendly and I didn’t get allergy with sweat on this band.
፨ The straps is easy to swap and replace if required and uses the spring pin type.
፨ The charging is a magnetic ping type and there is no need to remove straps or do anything. I felt this type of charging the easiest of all.
፨ The looks is very premium, though is made up of polycarbonate, the grey and black colors, the curved display on the sides and the size make it look like an Apple Watch.
፨ There are only 5 of watch faces and some of them are like the Apple watch face design. As of now the watch faces are limited and customization is limited, I hope customizations will be made available.
፨ The display is beautiful and under direct sunlight I found the watch display visible, though not the best visibility but to a certain extent.
፨ There is 1 button the side which looks like the watch crown and it acts as the function button and return button. I found it easy to navigate using the touch display and using this button.
፨ The IP68 certification means now I I don't have to worry about protection from water even more than 1m depth (IP_8) and also no need to worry about dirt (IP6_).
፨ Health, fitness and sleep tracking is very accurate in my opinion, and surprisingly the NoiseFit sport app is also good. The breathe is just to take a break and just asks us to take a deep breathe. I found using a continuous heart rate sensor get the battery under 7 days and when this feature is turned off, it takes to almost 10 days.
፨ The sleep, heart rate and health tracking are pretty accurate in my opinion. Most of the features available in smart bands and basic smart watches were available.
፨ I can now read messages and notification from the band easily. From the app I was able to turn off and on what notifications need to be shown on the watch and notifications can be enabled for vibrations.
፨ There are some quick access shortcuts from the watch like find my phone, turn off/on continuous heart rate monitoring, Do not Disturb, wrist. The female health care feature of menstrual cycle and ovulations cycle is a nice add in my opinion.

-------------------------
💖 WHAT I LIKED
-------------------------
◾ The premium design and great display. Much better than other smartwatches and bands in this category in my opinion.
◾ Battery life of 7 to 10 days.
◾ IPX68 dust and waterproof.
◾ Pretty accurate fitness, health and sleep monitoring
◾ Better control & display of calls, messages and music from the band

-------------------------------------------------
♻️ WHAT I FELT CAN BE IMPROVED
-------------------------------------------------
◾ More exercise or activities could have been included like Badminton etc.
◾ Only 5 watch faces available but heard there will be more added this year.

-------------------
🍱 OVERALL
-------------------
The MiBand 4 is definitely feature rich and Noise ColorFit Pro 2 has similar or a bit more features, I found this one much better in areas like build, design, charging. I don't have a Honor Band so I can't compare but at this price category in my perspective this band is the best. 🥇",,4 
14,4 out of 5,"Play Video
 Most smartwatches and smartband offer more or less of similar functionalities except for the ones where we can take calls on the watch itself. I wanted to get an Apple Watch for my wife as I was impressed by the design but fortunately I found this Noise ColorFit Pro 2 which looks very similar and premium like the Apple watch. Bought this one for Rs.2999.

----------------------
📦 IN THE BOX
----------------------
፨ The smart watch module with screen protector applied
፨ 22mm wide TPU strap
፨ Charging cable
፨ Instruction Manual and Warranty Registration card

--------------------
⌚ FEATURES
--------------------
፨ 1.3 inch 240x240 capacitive display
፨ Curved glass with anti-fingerprint coating,
፨ IP68 Full dustproof and waterproof
፨ 210 mah battery - 7 to 10 days usage, 45 days standby
፨ Bluetooth 5.0 BLE
፨ 24/7 heart Rate sensor, sedentary alarm, breathe feature, and usual health and sleep monitoring.
፨ App, message, social media and call notifications.
፨ Music control
፨ Menstrual cycle tracking
፨ 9 sports mode - Walk, Yoga, Spin, Run, Climb, Workout, Bike, Hike, Treadmill.

---------------------
🗓️ MY USAGE
---------------------
፨ At just 35g weight and 22mm TPU band makes this band the very comfortable to wear. Also the strap is skin friendly and I didn’t get allergy with sweat on this band.
፨ The straps is easy to swap and replace if required and uses the spring pin type.
፨ The charging is a magnetic ping type and there is no need to remove straps or do anything. I felt this type of charging the easiest of all.
፨ The looks is very premium, though is made up of polycarbonate, the grey and black colors, the curved display on the sides and the size make it look like an Apple Watch.
፨ There are only 5 of watch faces and some of them are like the Apple watch face design. As of now the watch faces are limited and customization is limited, I hope customizations will be made available.
፨ The display is beautiful and under direct sunlight I found the watch display visible, though not the best visibility but to a certain extent.
፨ There is 1 button the side which looks like the watch crown and it acts as the function button and return button. I found it easy to navigate using the touch display and using this button.
፨ The IP68 certification means now I I don't have to worry about protection from water even more than 1m depth (IP_8) and also no need to worry about dirt (IP6_).
፨ Health, fitness and sleep tracking is very accurate in my opinion, and surprisingly the NoiseFit sport app is also good. The breathe is just to take a break and just asks us to take a deep breathe. I found using a continuous heart rate sensor get the battery under 7 days and when this feature is turned off, it takes to almost 10 days.
፨ The sleep, heart rate and health tracking are pretty accurate in my opinion. Most of the features available in smart bands and basic smart watches were available.
፨ I can now read messages and notification from the band easily. From the app I was able to turn off and on what notifications need to be shown on the watch and notifications can be enabled for vibrations.
፨ There are some quick access shortcuts from the watch like find my phone, turn off/on continuous heart rate monitoring, Do not Disturb, wrist. The female health care feature of menstrual cycle and ovulations cycle is a nice add in my opinion.

-------------------------
💖 WHAT I LIKED
-------------------------
◾ The premium design and great display. Much better than other smartwatches and bands in this category in my opinion.
◾ Battery life of 7 to 10 days.
◾ IPX68 dust and waterproof.
◾ Pretty accurate fitness, health and sleep monitoring
◾ Better control & display of calls, messages and music from the band

-------------------------------------------------
♻️ WHAT I FELT CAN BE IMPROVED
-------------------------------------------------
◾ More exercise or activities could have been included like Badminton etc.
◾ Only 5 watch faces available but heard there will be more added this year.

-------------------
🍱 OVERALL
-------------------
The MiBand 4 is definitely feature rich and Noise ColorFit Pro 2 has similar or a bit more features, I found this one much better in areas like build, design, charging. I don't have a Honor Band so I can't compare but at this price category in my perspective this band is the best. 🥇",,4 
15,4 out of 5," Most smartwatches and smartband offer more or less of similar functionalities except for the ones where we can take calls on the watch itself. I wanted to get an Apple Watch for my wife as I was impressed by the design but fortunately I found this Noise ColorFit Pro 2 which looks very similar and premium like the Apple watch. Bought this one for Rs.2999.

----------------------
📦 IN THE BOX
----------------------
፨ The smart watch module with screen protector applied
፨ 22mm wide TPU strap
፨ Charging cable
፨ Instruction Manual and Warranty Registration card

--------------------
⌚ FEATURES
--------------------
፨ 1.3 inch 240x240 capacitive display
፨ Curved glass with anti-fingerprint coating,
፨ IP68 Full dustproof and waterproof
፨ 210 mah battery - 7 to 10 days usage, 45 days standby
፨ Bluetooth 5.0 BLE
፨ 24/7 heart Rate sensor, sedentary alarm, breathe feature, and usual health and sleep monitoring.
፨ App, message, social media and call notifications.
፨ Music control
፨ Menstrual cycle tracking
፨ 9 sports mode - Walk, Yoga, Spin, Run, Climb, Workout, Bike, Hike, Treadmill.

---------------------
🗓️ MY USAGE
---------------------
፨ At just 35g weight and 22mm TPU band makes this band the very comfortable to wear. Also the strap is skin friendly and I didn’t get allergy with sweat on this band.
፨ The straps is easy to swap and replace if required and uses the spring pin type.
፨ The charging is a magnetic ping type and there is no need to remove straps or do anything. I felt this type of charging the easiest of all.
፨ The looks is very premium, though is made up of polycarbonate, the grey and black colors, the curved display on the sides and the size make it look like an Apple Watch.
፨ There are only 5 of watch faces and some of them are like the Apple watch face design. As of now the watch faces are limited and customization is limited, I hope customizations will be made available.
፨ The display is beautiful and under direct sunlight I found the watch display visible, though not the best visibility but to a certain extent.
፨ There is 1 button the side which looks like the watch crown and it acts as the function button and return button. I found it easy to navigate using the touch display and using this button.
፨ The IP68 certification means now I I don't have to worry about protection from water even more than 1m depth (IP_8) and also no need to worry about dirt (IP6_).
፨ Health, fitness and sleep tracking is very accurate in my opinion, and surprisingly the NoiseFit sport app is also good. The breathe is just to take a break and just asks us to take a deep breathe. I found using a continuous heart rate sensor get the battery under 7 days and when this feature is turned off, it takes to almost 10 days.
፨ The sleep, heart rate and health tracking are pretty accurate in my opinion. Most of the features available in smart bands and basic smart watches were available.
፨ I can now read messages and notification from the band easily. From the app I was able to turn off and on what notifications need to be shown on the watch and notifications can be enabled for vibrations.
፨ There are some quick access shortcuts from the watch like find my phone, turn off/on continuous heart rate monitoring, Do not Disturb, wrist. The female health care feature of menstrual cycle and ovulations cycle is a nice add in my opinion.

-------------------------
💖 WHAT I LIKED
-------------------------
◾ The premium design and great display. Much better than other smartwatches and bands in this category in my opinion.
◾ Battery life of 7 to 10 days.
◾ IPX68 dust and waterproof.
◾ Pretty accurate fitness, health and sleep monitoring
◾ Better control & display of calls, messages and music from the band

-------------------------------------------------
♻️ WHAT I FELT CAN BE IMPROVED
-------------------------------------------------
◾ More exercise or activities could have been included like Badminton etc.
◾ Only 5 watch faces available but heard there will be more added this year.

-------------------
🍱 OVERALL
-------------------
The MiBand 4 is definitely feature rich and Noise ColorFit Pro 2 has similar or a bit more features, I found this one much better in areas like build, design, charging. I don't have a Honor Band so I can't compare but at this price category in my perspective this band is the best. 🥇",,4 
16,4 out of 5,Disliked the wake up gesture. Even if it is on watch doesn't wake up on movements kindly fix in next update. Also kindly add watch faces as all competitive watches have 100s of watch faces.,,4 
17,4 out of 5,Disliked the wake up gesture. Even if it is on watch doesn't wake up on movements kindly fix in next update. Also kindly add watch faces as all competitive watches have 100s of watch faces.,,4 
18,4 out of 5,Disliked the wake up gesture. Even if it is on watch doesn't wake up on movements kindly fix in next update. Also kindly add watch faces as all competitive watches have 100s of watch faces.,,4 
19,4 out of 5,Disliked the wake up gesture. Even if it is on watch doesn't wake up on movements kindly fix in next update. Also kindly add watch faces as all competitive watches have 100s of watch faces.,,4 
20,4 out of 5,"Play Video
 Most smartwatches and smartband offer more or less of similar functionalities except for the ones where we can take calls on the watch itself. I wanted to get an Apple Watch for my wife as I was impressed by the design but fortunately I found this Noise ColorFit Pro 2 which looks very similar and premium like the Apple watch. Bought this one for Rs.2999.

----------------------
📦 IN THE BOX
----------------------
፨ The smart watch module with screen protector applied
፨ 22mm wide TPU strap
፨ Charging cable
፨ Instruction Manual and Warranty Registration card

--------------------
⌚ FEATURES
--------------------
፨ 1.3 inch 240x240 capacitive display
፨ Curved glass with anti-fingerprint coating,
፨ IP68 Full dustproof and waterproof
፨ 210 mah battery - 7 to 10 days usage, 45 days standby
፨ Bluetooth 5.0 BLE
፨ 24/7 heart Rate sensor, sedentary alarm, breathe feature, and usual health and sleep monitoring.
፨ App, message, social media and call notifications.
፨ Music control
፨ Menstrual cycle tracking
፨ 9 sports mode - Walk, Yoga, Spin, Run, Climb, Workout, Bike, Hike, Treadmill.

---------------------
🗓️ MY USAGE
---------------------
፨ At just 35g weight and 22mm TPU band makes this band the very comfortable to wear. Also the strap is skin friendly and I didn’t get allergy with sweat on this band.
፨ The straps is easy to swap and replace if required and uses the spring pin type.
፨ The charging is a magnetic ping type and there is no need to remove straps or do anything. I felt this type of charging the easiest of all.
፨ The looks is very premium, though is made up of polycarbonate, the grey and black colors, the curved display on the sides and the size make it look like an Apple Watch.
፨ There are only 5 of watch faces and some of them are like the Apple watch face design. As of now the watch faces are limited and customization is limited, I hope customizations will be made available.
፨ The display is beautiful and under direct sunlight I found the watch display visible, though not the best visibility but to a certain extent.
፨ There is 1 button the side which looks like the watch crown and it acts as the function button and return button. I found it easy to navigate using the touch display and using this button.
፨ The IP68 certification means now I I don't have to worry about protection from water even more than 1m depth (IP_8) and also no need to worry about dirt (IP6_).
፨ Health, fitness and sleep tracking is very accurate in my opinion, and surprisingly the NoiseFit sport app is also good. The breathe is just to take a break and just asks us to take a deep breathe. I found using a continuous heart rate sensor get the battery under 7 days and when this feature is turned off, it takes to almost 10 days.
፨ The sleep, heart rate and health tracking are pretty accurate in my opinion. Most of the features available in smart bands and basic smart watches were available.
፨ I can now read messages and notification from the band easily. From the app I was able to turn off and on what notifications need to be shown on the watch and notifications can be enabled for vibrations.
፨ There are some quick access shortcuts from the watch like find my phone, turn off/on continuous heart rate monitoring, Do not Disturb, wrist. The female health care feature of menstrual cycle and ovulations cycle is a nice add in my opinion.

-------------------------
💖 WHAT I LIKED
-------------------------
◾ The premium design and great display. Much better than other smartwatches and bands in this category in my opinion.
◾ Battery life of 7 to 10 days.
◾ IPX68 dust and waterproof.
◾ Pretty accurate fitness, health and sleep monitoring
◾ Better control & display of calls, messages and music from the band

-------------------------------------------------
♻️ WHAT I FELT CAN BE IMPROVED
-------------------------------------------------
◾ More exercise or activities could have been included like Badminton etc.
◾ Only 5 watch faces available but heard there will be more added this year.

-------------------
🍱 OVERALL
-------------------
The MiBand 4 is definitely feature rich and Noise ColorFit Pro 2 has similar or a bit more features, I found this one much better in areas like build, design, charging. I don't have a Honor Band so I can't compare but at this price category in my perspective this band is the best. 🥇",,4 
