,Ratings,Reviews
13,4,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
14,4.2,"Fist thing which i want to make clear that dont make a false mindset about this buds without using it.
this buds are so beautiful, not just in desing , but in all format , whether it is sound or battery backup , oppo have done very good job to make it so simple but supper in performance. Here are few things which i felt by using it.
1 battery 🔋 is supperrrr
2 sounds so balanced ( not so overpowered)
3 good built quality
4 bass is there but in Balanced ammount ( u will definitely love it)
5..."
15,4,"Totally impressed with this product
Wecool Moonwalk m3 earbuds
Sound quality is amazing , clear & soft .
Noise cancellation is best top-notch .
& Bass quality is on High level .
Over all looks is so attractive even earbuds case is also hande . & Price totally worth the product ."
16,4,Hi very good producet
17,4.1,Very good product sound is good and battery service is very Good cost is good I am so happy
18,4,Awsome service by flipkart... Got delivery with in 11 hours of booking.. Proud user of flipkart.. thanxs team... Product is also good.. and valuable for that amount... Love flipkart...
19,4,"Boult ProBass vs BoAt reckerz 225 - I have used both than writing this review.
1. Boult gives surround sound experience whereas Boat rockerz not.
2. Bass experience is decent balanced with treble whereas boat rockerz gives rich bass experience.
3. Boult looks more stylish compared to boat rockerz.
4. Boult ProBass gives more Battery backup.
5. There is no connectivity issue in both earphones.
My suggestion - If your priority is bass than go for boat rockerz but if you want to feel each instru..."
20,4,I am very happy with this product. The U&I Titanic series sports neckband is just awesome. The sound and bass is too good. It has also very good battery life and I haven't charged it since 3 days and more to go. It is comfortable to wear and has perfect sound quality. I had an excellent experience of this neckband. It is also economical. A must buy for all.
21,4.2,Very nice I'm so happy
22,3.7,It is quite good and used to......I bought it one day ago....but it really satisfies me....sound quality and bass is so good
23,4.2,great bass good built don't expect thumping bass it is warm good for bass boosted songs
24,4.2,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
25,4,"Sound, Bass and Voice clearity is ok ,build quality is looking awesome looking stylish and awesome but in the box mentioned that is 30h battery backup but not at least, it's takes 20 to 24 hours battery backup it's okk"
26,4.1,Sound like pro its really a pro bass headset amazing product best gaming headset awesome battery backup...nice product👍......... ears are hurt by using long time usage 👎
27,4.2,"My review after 4 months
Sound Quality,
Build quality of Earphones,
wires of earphones are flexible, tough,durable,
I suggest to buy this Earphones they are Awesome in this price segment and JBL is just Awesome to provide Earphones in such a nice mid range price with good quality products with Mic
The quality of mic is also very good in this price segment
I buy them in Flapkart Big Billion Days Sell"
28,3.7,Good product for this value . Only the thing is that the sound it comes 1second late so please take look for that and make it perfect but it is good for this value
29,4.1,"I AM GIVING REVIEW HONESTLY AFTER USING 4 DAYS-
MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS.

1. BUDS SOUND QUALITY IS CRYSTAL CLEAR AND VOICE IS TOO CLEAR.
2. THE SMALL INSTRUMENTS MUSIC ARE LISTENING VERY GOOD.
3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS.
4. USE POWERAMP MUSIC PLAYER FOR BEST BASS EXPERIENCE.
5. GREAT STEREO EXPERIENCE.
6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY.
7. ONLY ONE INDICATOR LIGHT IS..."
30,3.9,"Very Nice Product, Sound clarity good and base also, low price good quality 😍"
31,4,"This is value for money product.
Personally, I like the sound quality... Bass and treble is really good...
Just we need to fix it properly in ear else it will skid off...
Overall I love this product..."
32,3.4,Nice product and sound is to good value for money 💰💰💰💰 and I'm very happy and thank you Flipkart
33,4.1,Best in looks and and design and sound quality is really nice and impressive I like it
34,3.9,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
35,3.7,These airpods are too good and the sound is very clear and good I use these airpods almost 4hours
36,4,"Nice product at this price point
Now my review is -
@ Sound quality is very good .
@ Voice of call receiving & out going is really very good & noise cancellation is also working well, i hv checked this function in very high db sound area.
@ Looks- very small & pretty
@ Connectivity - just open the lid, both ear buds connected with mobile & easy to connect with any bluetooth music system.
@ battery backup is good 5hrs last
@ At last- fantastic for this price tag. i am happy"
37,4.3,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
38,3.9,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
39,3.7,This product is very nice
40,4.2,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
41,3.6,SUPERB and good quality a sound very nice THANK you flipkard
42,4.1,100 percentage assured. It's awesome product for this value. Everyone buy it very very satisfied 👍🏻👍🏻🥰🥰🥰🥰. It's 100 percentage worth for this value. Thanks flipkart...... I love this ptron product 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
43,4,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
44,4.1,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
45,4.3,"This is a short review to clear your basic doubts, i usually don’t write review but i hope this will clear your doubts, As i faced same problem in my mind while ordering it.
1. Product is genuine & completely sealed pack original.
2. If you are thinking to purchase Bluetooth earphones for your iphone then stop! this is for you, the sound quality of these apple earpods is justt fabulous i would give 10 on 10. Better then most of the Bluetooth earphones.
3. Lastly, 1 year warranty is a peace o..."
46,3.9,"Mivi Duopods F30 is Best Budget TWS Earphone by Mivi.

Design: - The Design is Shiny + matte combination, we get mivi branding on both the pods. It Fits very comfy & u can use for long time.
Sound:- The sound of mivi is superb bass quality is good a suppressed with treble you majority bass is present, Multimedia & other Experience was Good.
Connectivity:- The Bluetooth connectivity is ok ok it connects the device within 1-2 secs both the pods sync together quickly.
Battery:- Talking about ear..."
47,4.1,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
48,4.2,"Amazing sound quality with boosted Bass. But if your r listing music on YouTube then might the sound quality may not that good as u experience on Gaana aap or related music app or music that you have download on your cell phone. Don't worry for that it only differ slightly i.e. unpredictable. Overall you will get owsm sound and bass experiences. Coming to the battery backup it is up to 6hrs + and charges quickly for urgent work.
The build quality is good and has a magnetic end that don't work..."
49,4,"The product design is amazing and sound quality is too good"" this is use full of your money 💸"" don't think so it's really awesome product"""" Thank you for reading 😉😉"
50,3.9,"Super product I like it sound quality is good 👌
And also bass sound is super thank you flip cart"
51,4.3,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
52,3.9,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
53,3.4,Better
54,4,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.
55,4.1,"It's an amazing and fantastic brand, everyone should buy this Bluetooth handsfree
First of its battery is amazing provide atleast more than 36 hours battery backup
Second it's sound quality is also very clear and loud 🔊📢"
56,4.2,Good quality 😊 low price sounds base excellent 👍 realme is good sound is like JBL
57,3.4,"Nice product,😃😃😃"
58,3.8,"Thank you Flipkart ❤️
Good at this price. Sound quality is superb battery backup is also good charges full within 1 hour...
Butt a bit heavy!!! Overall it's a good headphone to use"
59,3.8,Good
60,4.2,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
61,3.9,"Why this is a good choice ?
- The price, no other true wireless comes in this range
- True wireless, if you are annoyed using these nasty wired earphones
- Build Quality, Matte finish on both case and ear buds
- Touch Control, yes this is very nice to have at this price point. No more uncomfortable buttons on earbuds.
- And last sound is also okay, don’t expect anything high. These gets the job done. Pretty happy with its sound.

Why not to buy ?
- If you music professional or have some deep ..."
62,3.8,"First thing mivi collar 2A neckband is fully made in india,so I bought.
It's really amazing mivi neckband. Sound clarity is very good during phone calls. Bass is like dhinchuk dhinchuk😀😀
Battery backup approximately same as that company claim..
Overall this mivi collar 2A neck band is best at this price.."
63,4,The build quality was excellent and the display will help you a lot what is charging percentage is and sound quality was really amazing the bass lovers can enjoy the bass a lot and the charging backup is something around 42hr and the best thing i have liked in this is Type c cable this is really amazing we can't see in many ear pod's with type c charging cable.The best
64,4.1,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
65,3.9,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
66,3.8,Good
67,4.1,"excellent sound and bass
very good as compared to boat , ralmee earphones
low cost and good quality
nice design, magnet works properly
packaging box is not good but product is much good
long earphones and suitable also"
68,3.8,Good
69,3.3,"It is my first Bluetooth bud experience. I will say quality and comfort at this price point are truly okay. These are my initial observations.

Pros :
1. Product does not appear cheap. They have maintained the quality as good as their product description.
2. Buds are soft in the ear, do not hurt if you keep them for a longer period.
3. Pairing and unpairing are fast.
4. Bud box is really gorgeous, wanted blue but got the black one.
5. Playing Music and show experience was good. Full volume wo..."
70,4.2,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
71,4.1,"Hello guys i am writing this review after 5 days of extream use... so u can consider my words before buying it :)

build quality :-
{ no problems at all }
gym ✓
walking ✓
running ✓
while sleeping if u change position (X)

connectivity :-
{ excellent }
connectivity range is more than any other neckband in this range. approximately 15-16 meters in a straight line.
but one thing to say... while i am on cycle 🚴 the connection shutters whenever there are obstacles on the road.
may be they will fi..."
72,4.3,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
73,3.9,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
74,3.7,"Good quality product.If you will take suggestion from me then you must place the order for NIRUM HBS-730, in this range of price it is the product which I have found on flipcart. The sound quality is fabulous but only one problem that it take 1 hr for full charge and gives only 3 hr enjoyment....
Hope this feedback helped u....."
75,3.9,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
76,4,It's a terrific purchase for the price.updaye after 8 months and still works perfectly fine
77,3.1,Very bad product....1 Bluetooth is on and 2 nd Bluetooth not working
78,3.2,It is bad product
79,4.2,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
80,3.9,Best sound and best quality light weight very comfortable and sweat proof aroma I like it
81,3.4,"Pros,
1. Good neckband at a decent price
2. Bass is more than average if you want thumping bass then download ""Subwoofer bass"" App then use it with neckband, it would be killer...
3.Metallic body.
Cons,
1. Wire is short but that is fine enough.
2. Magnet is not so strong yet it can attract the earbuds.
3. Battery backup is of 2 hours of continuos music and 3 hours for call.
Conclusion:-
If your budget is not enough for buying a branded neckband then go out this. It is good enough than ..."
82,4,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.
83,3.5,Nice products
84,4.1,Liked the product. Built quality is not tht good but overall ok. Sound quality is ok. BASS won't be as expected. Battery backup is very good average 2-3 days depend on your use. A decent product with nice feature.
85,4.1,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
86,3.4,Very awesome as I received as expected. Same as shown in pic. Nice design and good sound quality. Bass is also good. Calling feature is very superb. Voice not interrupted while calling. Overall good product in this price. Please go for it. Must buy😊. Thanks Flipkart😍
87,3.7,"awesome products, battery life is not that great but charge really fast and sound is so great I love these I'm gonna another one for myself."
88,3.9,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
89,4.3,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
90,4,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
91,4.2,"Fist thing which i want to make clear that dont make a false mindset about this buds without using it.
this buds are so beautiful, not just in desing , but in all format , whether it is sound or battery backup , oppo have done very good job to make it so simple but supper in performance. Here are few things which i felt by using it.
1 battery 🔋 is supperrrr
2 sounds so balanced ( not so overpowered)
3 good built quality
4 bass is there but in Balanced ammount ( u will definitely love it)
5..."
92,4,"Totally impressed with this product
Wecool Moonwalk m3 earbuds
Sound quality is amazing , clear & soft .
Noise cancellation is best top-notch .
& Bass quality is on High level .
Over all looks is so attractive even earbuds case is also hande . & Price totally worth the product ."
93,4,Hi very good producet
94,4.1,Very good product sound is good and battery service is very Good cost is good I am so happy
95,4,Awsome service by flipkart... Got delivery with in 11 hours of booking.. Proud user of flipkart.. thanxs team... Product is also good.. and valuable for that amount... Love flipkart...
96,3.7,It is quite good and used to......I bought it one day ago....but it really satisfies me....sound quality and bass is so good
97,3.5,Both product's are Supebbbbb.
98,4.2,Very nice I'm so happy
99,4,I am very happy with this product. The U&I Titanic series sports neckband is just awesome. The sound and bass is too good. It has also very good battery life and I haven't charged it since 3 days and more to go. It is comfortable to wear and has perfect sound quality. I had an excellent experience of this neckband. It is also economical. A must buy for all.
100,4.1,Sound like pro its really a pro bass headset amazing product best gaming headset awesome battery backup...nice product👍......... ears are hurt by using long time usage 👎
101,4.2,great bass good built don't expect thumping bass it is warm good for bass boosted songs
102,4.2,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
103,4,"Sound, Bass and Voice clearity is ok ,build quality is looking awesome looking stylish and awesome but in the box mentioned that is 30h battery backup but not at least, it's takes 20 to 24 hours battery backup it's okk"
104,3.9,"Very Nice Product, Sound clarity good and base also, low price good quality 😍"
105,4.2,"My review after 4 months
Sound Quality,
Build quality of Earphones,
wires of earphones are flexible, tough,durable,
I suggest to buy this Earphones they are Awesome in this price segment and JBL is just Awesome to provide Earphones in such a nice mid range price with good quality products with Mic
The quality of mic is also very good in this price segment
I buy them in Flapkart Big Billion Days Sell"
106,3.7,Good product for this value . Only the thing is that the sound it comes 1second late so please take look for that and make it perfect but it is good for this value
107,4.1,"I AM GIVING REVIEW HONESTLY AFTER USING 4 DAYS-
MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS.

1. BUDS SOUND QUALITY IS CRYSTAL CLEAR AND VOICE IS TOO CLEAR.
2. THE SMALL INSTRUMENTS MUSIC ARE LISTENING VERY GOOD.
3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS.
4. USE POWERAMP MUSIC PLAYER FOR BEST BASS EXPERIENCE.
5. GREAT STEREO EXPERIENCE.
6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY.
7. ONLY ONE INDICATOR LIGHT IS..."
108,3.9,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
109,4,"This is value for money product.
Personally, I like the sound quality... Bass and treble is really good...
Just we need to fix it properly in ear else it will skid off...
Overall I love this product..."
110,3.4,Nice product and sound is to good value for money 💰💰💰💰 and I'm very happy and thank you Flipkart
111,4.1,Best in looks and and design and sound quality is really nice and impressive I like it
112,3.9,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
113,4.3,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
114,3.7,These airpods are too good and the sound is very clear and good I use these airpods almost 4hours
115,4,"Nice product at this price point
Now my review is -
@ Sound quality is very good .
@ Voice of call receiving & out going is really very good & noise cancellation is also working well, i hv checked this function in very high db sound area.
@ Looks- very small & pretty
@ Connectivity - just open the lid, both ear buds connected with mobile & easy to connect with any bluetooth music system.
@ battery backup is good 5hrs last
@ At last- fantastic for this price tag. i am happy"
116,4.5,This product is very nice
117,3.7,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
118,4.2,SUPERB and good quality a sound very nice THANK you flipkard
119,3.6,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
120,3.9,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
121,4,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
122,4.1,"Totally impressed with this product
Wecool Moonwalk m3 earbuds
Sound quality is amazing , clear & soft .
Noise cancellation is best top-notch .
& Bass quality is on High level .
Over all looks is so attractive even earbuds case is also hande . & Price totally worth the product ."
123,4,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
124,4.1,"Amazing sound quality with boosted Bass. But if your r listing music on YouTube then might the sound quality may not that good as u experience on Gaana aap or related music app or music that you have download on your cell phone. Don't worry for that it only differ slightly i.e. unpredictable. Overall you will get owsm sound and bass experiences. Coming to the battery backup it is up to 6hrs + and charges quickly for urgent work.
The build quality is good and has a magnetic end that don't work..."
125,4.2,"The product design is amazing and sound quality is too good"" this is use full of your money 💸"" don't think so it's really awesome product"""" Thank you for reading 😉😉"
126,4,It is quite good and used to......I bought it one day ago....but it really satisfies me....sound quality and bass is so good
127,3.7,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
128,4.3,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
129,3.9,Better
130,3.4,Sound like pro its really a pro bass headset amazing product best gaming headset awesome battery backup...nice product👍......... ears are hurt by using long time usage 👎
131,4.1,"It's an amazing and fantastic brand, everyone should buy this Bluetooth handsfree
First of its battery is amazing provide atleast more than 36 hours battery backup
Second it's sound quality is also very clear and loud 🔊📢"
132,4.1,Good quality 😊 low price sounds base excellent 👍 realme is good sound is like JBL
133,4.2,"Nice product,😃😃😃"
134,3.4,"Very Nice Product, Sound clarity good and base also, low price good quality 😍"
135,3.9,Good
136,3.8,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
137,4.2,"Why this is a good choice ?
- The price, no other true wireless comes in this range
- True wireless, if you are annoyed using these nasty wired earphones
- Build Quality, Matte finish on both case and ear buds
- Touch Control, yes this is very nice to have at this price point. No more uncomfortable buttons on earbuds.
- And last sound is also okay, don’t expect anything high. These gets the job done. Pretty happy with its sound.

Why not to buy ?
- If you music professional or have some deep ..."
138,3.9,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
139,3.9,I am using this truke fit 1 plus in-ear true wireless rearbuds from last 3 days and i must say this is one of the best true wireless earbuds available at this price point it has really great battery life.. in last 3 days i have only charged it 2 times. It connects to mobile very easily and fastly. specially it is very comfortable to use. I think u should definitely buy this product at this price range.. I will give this product 10/10 for battery and 9/10 for comfort
140,3.9,The build quality was excellent and the display will help you a lot what is charging percentage is and sound quality was really amazing the bass lovers can enjoy the bass a lot and the charging backup is something around 42hr and the best thing i have liked in this is Type c cable this is really amazing we can't see in many ear pod's with type c charging cable.The best
141,4,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
142,4.1,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
143,3.9,Good
144,3.8,"excellent sound and bass
very good as compared to boat , ralmee earphones
low cost and good quality
nice design, magnet works properly
packaging box is not good but product is much good
long earphones and suitable also"
145,4.1,Good
146,3.8,100 percentage assured. It's awesome product for this value. Everyone buy it very very satisfied 👍🏻👍🏻🥰🥰🥰🥰. It's 100 percentage worth for this value. Thanks flipkart...... I love this ptron product 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
147,4.1,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
148,4.2,"Hello guys i am writing this review after 5 days of extream use... so u can consider my words before buying it :)

build quality :-
{ no problems at all }
gym ✓
walking ✓
running ✓
while sleeping if u change position (X)

connectivity :-
{ excellent }
connectivity range is more than any other neckband in this range. approximately 15-16 meters in a straight line.
but one thing to say... while i am on cycle 🚴 the connection shutters whenever there are obstacles on the road.
may be they will fi..."
149,4.1,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
150,4.3,"Mivi Duopods F30 is Best Budget TWS Earphone by Mivi.

Design: - The Design is Shiny + matte combination, we get mivi branding on both the pods. It Fits very comfy & u can use for long time.
Sound:- The sound of mivi is superb bass quality is good a suppressed with treble you majority bass is present, Multimedia & other Experience was Good.
Connectivity:- The Bluetooth connectivity is ok ok it connects the device within 1-2 secs both the pods sync together quickly.
Battery:- Talking about ear..."
151,3.9,"I never seen gaming true wireless earbud like this,before.This is an truly amazing earbud.It has very good quality sound and awesome features.If I say about gaming,this buds are specially made for gaming purpose it has very low Latency so you can hear sound while gaming without any delay.Sound quality is very lod and clear and bass quality is very awesome.Just grab it"
152,4.6,"Good quality product.If you will take suggestion from me then you must place the order for NIRUM HBS-730, in this range of price it is the product which I have found on flipcart. The sound quality is fabulous but only one problem that it take 1 hr for full charge and gives only 3 hr enjoyment....
Hope this feedback helped u....."
153,3.7,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
154,3.9,Very bad product....1 Bluetooth is on and 2 nd Bluetooth not working
155,4.5,It is bad product
156,3.1,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
157,3.2,Best sound and best quality light weight very comfortable and sweat proof aroma I like it
158,4.2,"Pros,
1. Good neckband at a decent price
2. Bass is more than average if you want thumping bass then download ""Subwoofer bass"" App then use it with neckband, it would be killer...
3.Metallic body.
Cons,
1. Wire is short but that is fine enough.
2. Magnet is not so strong yet it can attract the earbuds.
3. Battery backup is of 2 hours of continuos music and 3 hours for call.
Conclusion:-
If your budget is not enough for buying a branded neckband then go out this. It is good enough than ..."
159,3.9,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.
160,3.4,Nice products
