,Ratings,Reviews
41,4.4,"I'm fully satisfied with this laptop. Best hardware configuration with this prize. It's been a week since I got this laptop, the display is good, you will get 4-5 hrs battery backup, fast booting. I compromised graphics for 16gb ram so I'm not expecting for to play big PC games in this laptop but any way I have installed gta5 and played. You can play gta5 in low resolution and low fps(average 40-50). Since this laptop don't have much vram you cannot expect to have great result in gaming. I'm ..."
42,4.7,"One of the best laptop in this Range
Best for office work and some gaming
Battery life is very good
You can easily work for 7-8 hrs"
43,4.4,Received in a very good condition
44,4.8,"Works fine for moderate gaming.
Though I’ve done intense gaming, the thermals didn’t go beyond 78C and that’s awesome.

The system instantly wakes up from sleep. Which is a wow factor in for any windows laptop.

I’ve tested it with 2VMs running in parallel and allocating 2 cores and 4gb ram for each and the performance was pretty decent. No major lags.

The display is fine but, don’t think of using this laptop in outdoor lighting conditions."
45,4.4,"I am a web developer, and needs to work with min 3 browsers with over 20-25 tabs open in every one of them, plus half a dozen of other resource hungry applications running simultaneously, along with 2 web servers and MySQL database engine running in background on Linux OS.

Whow, this machine is fast. It lifts all these load like a feather. It is lightning speed. Internet speed is phenomenal - getting 100% my plan speed! Even if it is just 1 inch smaller than my previous laptop, the scree..."
46,4.5,"Amazing experience from the time the package was opened till now. It's been 2 weeks. Super light weight, fantastic face recognition and sound and ui experience. Great battery backup. Camera is great. Great value, happy that I made this quality choice without spending too much !"
47,4.4,"Amazing experience from the time the package was opened till now. It's been 2 weeks. Super light weight, fantastic face recognition and sound and ui experience. Great battery backup. Camera is great. Great value, happy that I made this quality choice without spending too much !"
48,4.4,"Writing review after 15 day of use.It is absolutely incredible product . DIsplay,Built quality ,design everything looks awesome and I just love it.if your Budget allow around 40K it is simply best choice in Hp brand laptop.SSD allow smooth functioning of Laptop sp there is everything in this laptop which force you to but this one ."
49,4.3,It's Nice This is first day .
50,4.1,Good
51,4.5,"Great laptop for the price, i add 8gb ram (gekill ripjaws 3200mhz, density- RX8) and for those who were wondering what the density of the ram already present in the laptop is, its RX8 which is great . Once uprageded to 16 gb the laptop cab run almost all games at max settings at or above 60fps except some very demanding games like rdr2 and cyberpunk where u can get playable fps (45-50) with high +medium +ultra mix settings.

I got 60 fps plus in max settings in forza horizon 4, witcher 3 and..."
52,4.6,Nice laptop. I like it😍😍😍
53,4.4,Battery is not so good.full Battery will last only 4 hours
54,4.2,Amazing product
55,4.1,It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇
56,4.3,"I was confused between asus and lenovo s145 laptop but chose go with this laptop because of build quality.

Lenovo s145 feels quite flimsy while asus is reinforced with metal plates under the keyboard and in side supports of screen.

4gb ram and ryzen 3250u is good for everyday uses and light office work like browsing with5-6 tab oepn in chrome and 2-3 office files and for heavy uses there option to increase ram capacity.

Ssd read speeds are quite fast 950mb/s and write speed upto 350mb/s th..."
57,4.3,"Battery: 3.5/5
Display: 4/5
Performance: 5/5
Design: 4.5/5
Value for money: 4.3/5

•Buy ssd with hhd it's perfect combination

•if you want best performance buy 512 ssd & if want more storage buy hhd laptop

•if you buy 512gb ssd it's too good but you need extra hhd or other storage stuff.

•allover just amazing laptop. Love it!❣"
58,4.5,Excellent 👌 leptop
59,4.1,Worth of money
60,4.1,"Flipkart just took 2 days to deliver the product.
I have used it now for just few hours, so here is the first impressions....
Battery is great as of now.
Display is great... vibrant and crisp.
i3 11 th gen handles everything too easily.
SSD is toooo fast...i have made a partition of 175gb for c drive.
Design is also great.
Comes with genuine windows 10 and ms office home & student 2019.
As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ..."
61,4.4,From past 10 months I'm searching for a best Gaming Laptop. Today I found it and I can say my choice is perfect. Mind-blowing Gaming Laptop at a reasonable price. Very fast booting(with in a blink of eye). Many people have a dream to become a gamer.. but due to high price everyone cannot afford a gaming laptop. But MSI made it possible with this low price and high specifications. Without any second thought we can buy it. I had a few doubts about the laptop and msi customer service cleared all...
62,4.5,Stylish laptop
63,4.5,"Easily one of the most valuable & wonderful gaming laptops out there.

If you are a business user who wants more battery backup, portability & laptop for basic business requirements, then this is not for you.

A few things to know if you are purchasing a gaming laptop for the first time.

- Cooling system is very important for gaming laptop.
- Battery backup is adequate. However, it can be optimised if you work more than play.
- Fans run quiety to moderately all the time. Somewhere you c..."
64,4.4,Sound is very clear song play excellent i like very much thanks hp best price and performance good including Alexa also available.i like so much tq
65,4.3,"The Specifications are good wrt to price. How does it deliver? Well first day review, design and colour nice. Windows 11 is better than 10 with easy accessibility. Wake up time is too good. Battery should last approximately 5-7 hrs with background downloads and a bit browsing. If looking for a quality display this is probably not the laptop, go for realme or mi. Display is good for our daily work. Build quality is good. MS Office is additional bonus and a must have with laptops. I think aud..."
66,4.2,"I am writing this review after using the laptop for 4 Months and these are my observations.

Pros
1. Camera is HD like Really.
2. Connectivity is good.
3. Display is decent 4/5
4. Battery is 8 Hours (Really)
5.specs are cool according to the Price
6. Comes with original Microsoft and Windows
7. Also McAfee anti-virus is pre installed.


Cons.
Nothing as major"
67,4,"Webcam quality is extremely poor. Build quality is poor. Keyboard is mediocre. If you have large hands like me than avoid this laptop. Always check product like laptop in person that you will be using on daily basis for personal and professional purposes before making purchase.

This laptop is not recommended for coding purposes. Keyboard is extremely fragile.

Laptop body is magnet for greasy smudges. Better opt for metal body laptop."
68,4.5,"I have used this laptop for one week and my observations are as below.
1. It took 90 to 100 min to charge from 10% to 100%. ( 5 times tested)

2. Battery backup is approx 190 min to 210 min as per this usage => Full brightness, Hotspot in use, Only slideshow application run.
(8 times tested)

3. After buying this product I have registered it on the HP website and it is found the legal product.

4. Keyboard is very very smooth.

5. Sound quality is also good.

6. Refresh rate is also good.
..."
69,4.5,"Nice product light wight , very good sound quality, 15.6 HD display very nice , fast performance speed wise SSD 256,
Value for money."
70,4.4,"I used this laptop last 1 month and now I'll give this feedback...This acer aspire 5 i5 11th Gen lap looks awesome compare than others ..Y ??? 👇
🔆DESIGN : This laptop is designed for multitask performance...Yeah , Design wise it looks too awesome . And it look too slim and easy to carry.
🔆PERFORMANCE : It is not the perfect one for gaming . But v can do multitasking like running many tabs and also perfect for codings .
🔆BATTERY : Good ...It standsback 5 hrs (normal use) and 3 hrs (Heavy ..."
71,4.2,"First time I have purchased a laptop which had no reviews at all in Flipkart, but just gone thru the specs and details mentioned on website. These specs are awesome at this price, mostly you get all pros in terms of light weight, premium finish, and speed.
Very few cons it have like no extra RAM slot but you can replace with 32GB RAM, No MS office and Low speaker volume due to speakers located under the laptop.

Great to buy, got this at 40,990 at BBD"
72,4.6,"After all the specs u already know....and after using it continuously for a day....let's dive into performance

It is a beast....installed all the softwares of need....plus autocad and revit....for those who don't know about this.... it's an Engineering related software....demands very high CPU & GPU....and it was opening the zipped files like hot knife through butter...and then performing smoothly....for anyone with doubt about it....Go for it !!8

Then installed GTA V....of course had to......"
73,4.5,"One of the best if you are looking out for a laptop for coding.
I have tried running SOLR servers and working parrallel with tomcat servers running on eclipse and it works damn smooth.

Programmers don't hesitate until and unless you are looking out for ML and AI which eventually requires server with GPU only.

I upgraded the RAM to 16 GB for some additional tasks but even 8 GB is enough for ample coding stuff.

Display is decent.


Cons
Build is not strong
Buy external keyboard as keyboard i..."
74,4.3,Good product in this price ...
75,4.1,"What an amazing performance. Buttery smooth. i7 with 16gb ram and 1tb ssd is a killer combination. If you're not a heavy gamer, this is a straight no brainer. No other laptop matches this price to performance / spec ratio.

- Boots up in less than 5 seconds
- Plays anything effortlessly
- Good SSD write speed. Was able to transfer files worth 45gb in less than 5 mins from ext hdd at an average speed of 115mbps
- Good display with good viewing angles.
- Great typing experience although visibi..."
76,4.4,A good laptop for college student ..average battery life ..semi metallic body.and the sound quality is very good.there is no heating issue while normal performance like coding and all...got it for 64000 during laptop sale....in this budget very good fully packed laptop ..it has another cool feature that is privacy shutter on web cam.....overall a good laptop. Can go for it if u r a college student
77,4.3,"Webcam quality is extremely poor. Build quality is poor. Keyboard is mediocre. If you have large hands like me than avoid this laptop. Always check product like laptop in person that you will be using on daily basis for personal and professional purposes before making purchase.

This laptop is not recommended for coding purposes. Keyboard is extremely fragile.

Laptop body is magnet for greasy smudges. Better opt for metal body laptop."
78,4.5,"Best product for those who loves cute laptop
Very smooth performance
Best sound quality
Built quality 10/10
it takes below 2 hours for full charge. And lasts for 20 hours for normal use"
79,4.7,"One of the best Laptop in this range. It is best in every types of uses.
Gaming performance is awesome 😎❤️❤️
Perfect product and is Valuable for money."
80,4.5,The design is good to reduce the heating of laptop along with the turbo mode. Performance is good and best thing is144hz refresh rate and dtsx sound system.
81,4.5,"Everything is cool to have this laptop for 51k but too heavy to carry outdoor.
Performance is good and charger weights approximate to the laptop's weight and charging is too delayed for 3hrs.
But works very smart with the latest features."
82,4.3,"These are the reviews after using this laptops for a week :-
PROS :-
1. The refresh rate of 144hz is super awesome especially when you get one after using 60hz or low screen from a long time.
2. The combination of Ryzen 7 4800H with 1650ti works way better than intel's i7 10th gen 10750 processor as I have been using both of them.
3. When it comes to cooling...this one's a beast. No other laptop in the market has that level of cooling which this laptop offers in 81k price range.
Even I w..."
83,4.5,Fantastic
84,3.5,"Pros _-_
Its fast due to samsung ssd around (170 gb available out of 256). Price: 35850
It think screen is best in this price segment with good brightness level.
Audio is also very loud can be increased upto (600%).
Camera is decent but mic is best (comes with noise filteration).
Keyboard is average(spill resistant).
Free lifetime ms office.
Window 11 ready.
Cons:-
Design is biggest flow, when you open the lid it fully blocks air exhaust area and that cause heating issues.

Plastic body soli..."
85,4.4,"Battery is 5-8hrs (No gaming).My Basic Usage is YT + Vscode, GMeet ,Other streaming platforms.
Build Quality is Awesome. Hinge looks a bit of a problem though.
Ryzen 5 5500U is the best for students who dont want to do gaming.
2 level Backlit is good.
4x2 ram is a Con.
Webcam and sound quality is okayish.
Keyboard keys are awesome love them."
86,4.3,"Writing this review after just 1 week of usage. Firstly, name of this machine is Lenovo ideapad slim 3 2021 and I bought it for Rs51,990/-.

Build and Design: Good build quality for the price. Laptop is entirely made of plastic. External surface of the lid is having a metallic finish. Chassis has a small flex which is expected at the price range. Keyboard is also having a slight flex but you won’t notice it if you are not looking for it. Hinge is sturdy enough, but the lid can’t be opened wit..."
87,4.5,Good looking & good performance
88,4,"I'm fully satisfied with this laptop. Best hardware configuration with this prize. It's been a week since I got this laptop, the display is good, you will get 4-5 hrs battery backup, fast booting. I compromised graphics for 16gb ram so I'm not expecting for to play big PC games in this laptop but any way I have installed gta5 and played. You can play gta5 in low resolution and low fps(average 40-50). Since this laptop don't have much vram you cannot expect to have great result in gaming. I'm ..."
89,4.4,"One of the best laptop in this Range
Best for office work and some gaming
Battery life is very good
You can easily work for 7-8 hrs"
90,4.7,Received in a very good condition
91,4.4,"Works fine for moderate gaming.
Though I’ve done intense gaming, the thermals didn’t go beyond 78C and that’s awesome.

The system instantly wakes up from sleep. Which is a wow factor in for any windows laptop.

I’ve tested it with 2VMs running in parallel and allocating 2 cores and 4gb ram for each and the performance was pretty decent. No major lags.

The display is fine but, don’t think of using this laptop in outdoor lighting conditions."
92,4.8,"I am a web developer, and needs to work with min 3 browsers with over 20-25 tabs open in every one of them, plus half a dozen of other resource hungry applications running simultaneously, along with 2 web servers and MySQL database engine running in background on Linux OS.

Whow, this machine is fast. It lifts all these load like a feather. It is lightning speed. Internet speed is phenomenal - getting 100% my plan speed! Even if it is just 1 inch smaller than my previous laptop, the scree..."
93,4.4,"Amazing experience from the time the package was opened till now. It's been 2 weeks. Super light weight, fantastic face recognition and sound and ui experience. Great battery backup. Camera is great. Great value, happy that I made this quality choice without spending too much !"
94,4.5,"Amazing experience from the time the package was opened till now. It's been 2 weeks. Super light weight, fantastic face recognition and sound and ui experience. Great battery backup. Camera is great. Great value, happy that I made this quality choice without spending too much !"
95,4.4,"Writing review after 15 day of use.It is absolutely incredible product . DIsplay,Built quality ,design everything looks awesome and I just love it.if your Budget allow around 40K it is simply best choice in Hp brand laptop.SSD allow smooth functioning of Laptop sp there is everything in this laptop which force you to but this one ."
96,4.4,It's Nice This is first day .
97,4.3,Good
98,4.1,"Great laptop for the price, i add 8gb ram (gekill ripjaws 3200mhz, density- RX8) and for those who were wondering what the density of the ram already present in the laptop is, its RX8 which is great . Once uprageded to 16 gb the laptop cab run almost all games at max settings at or above 60fps except some very demanding games like rdr2 and cyberpunk where u can get playable fps (45-50) with high +medium +ultra mix settings.

I got 60 fps plus in max settings in forza horizon 4, witcher 3 and..."
99,4.5,Nice laptop. I like it😍😍😍
100,4.6,Battery is not so good.full Battery will last only 4 hours
101,4.4,Amazing product
102,4.2,It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇
103,4.1,"I was confused between asus and lenovo s145 laptop but chose go with this laptop because of build quality.

Lenovo s145 feels quite flimsy while asus is reinforced with metal plates under the keyboard and in side supports of screen.

4gb ram and ryzen 3250u is good for everyday uses and light office work like browsing with5-6 tab oepn in chrome and 2-3 office files and for heavy uses there option to increase ram capacity.

Ssd read speeds are quite fast 950mb/s and write speed upto 350mb/s th..."
104,4.3,"Battery: 3.5/5
Display: 4/5
Performance: 5/5
Design: 4.5/5
Value for money: 4.3/5

•Buy ssd with hhd it's perfect combination

•if you want best performance buy 512 ssd & if want more storage buy hhd laptop

•if you buy 512gb ssd it's too good but you need extra hhd or other storage stuff.

•allover just amazing laptop. Love it!❣"
105,4.3,Excellent 👌 leptop
106,4.5,Worth of money
107,4.1,"Flipkart just took 2 days to deliver the product.
I have used it now for just few hours, so here is the first impressions....
Battery is great as of now.
Display is great... vibrant and crisp.
i3 11 th gen handles everything too easily.
SSD is toooo fast...i have made a partition of 175gb for c drive.
Design is also great.
Comes with genuine windows 10 and ms office home & student 2019.
As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ..."
108,4.1,From past 10 months I'm searching for a best Gaming Laptop. Today I found it and I can say my choice is perfect. Mind-blowing Gaming Laptop at a reasonable price. Very fast booting(with in a blink of eye). Many people have a dream to become a gamer.. but due to high price everyone cannot afford a gaming laptop. But MSI made it possible with this low price and high specifications. Without any second thought we can buy it. I had a few doubts about the laptop and msi customer service cleared all...
109,4.4,Stylish laptop
110,4.5,"Easily one of the most valuable & wonderful gaming laptops out there.

If you are a business user who wants more battery backup, portability & laptop for basic business requirements, then this is not for you.

A few things to know if you are purchasing a gaming laptop for the first time.

- Cooling system is very important for gaming laptop.
- Battery backup is adequate. However, it can be optimised if you work more than play.
- Fans run quiety to moderately all the time. Somewhere you c..."
111,4.5,Sound is very clear song play excellent i like very much thanks hp best price and performance good including Alexa also available.i like so much tq
112,4.4,"The Specifications are good wrt to price. How does it deliver? Well first day review, design and colour nice. Windows 11 is better than 10 with easy accessibility. Wake up time is too good. Battery should last approximately 5-7 hrs with background downloads and a bit browsing. If looking for a quality display this is probably not the laptop, go for realme or mi. Display is good for our daily work. Build quality is good. MS Office is additional bonus and a must have with laptops. I think aud..."
113,4.3,"I am writing this review after using the laptop for 4 Months and these are my observations.

Pros
1. Camera is HD like Really.
2. Connectivity is good.
3. Display is decent 4/5
4. Battery is 8 Hours (Really)
5.specs are cool according to the Price
6. Comes with original Microsoft and Windows
7. Also McAfee anti-virus is pre installed.


Cons.
Nothing as major"
114,4.2,"Webcam quality is extremely poor. Build quality is poor. Keyboard is mediocre. If you have large hands like me than avoid this laptop. Always check product like laptop in person that you will be using on daily basis for personal and professional purposes before making purchase.

This laptop is not recommended for coding purposes. Keyboard is extremely fragile.

Laptop body is magnet for greasy smudges. Better opt for metal body laptop."
115,4,"I have used this laptop for one week and my observations are as below.
1. It took 90 to 100 min to charge from 10% to 100%. ( 5 times tested)

2. Battery backup is approx 190 min to 210 min as per this usage => Full brightness, Hotspot in use, Only slideshow application run.
(8 times tested)

3. After buying this product I have registered it on the HP website and it is found the legal product.

4. Keyboard is very very smooth.

5. Sound quality is also good.

6. Refresh rate is also good.
..."
116,4.5,"Nice product light wight , very good sound quality, 15.6 HD display very nice , fast performance speed wise SSD 256,
Value for money."
117,4.5,"I used this laptop last 1 month and now I'll give this feedback...This acer aspire 5 i5 11th Gen lap looks awesome compare than others ..Y ??? 👇
🔆DESIGN : This laptop is designed for multitask performance...Yeah , Design wise it looks too awesome . And it look too slim and easy to carry.
🔆PERFORMANCE : It is not the perfect one for gaming . But v can do multitasking like running many tabs and also perfect for codings .
🔆BATTERY : Good ...It standsback 5 hrs (normal use) and 3 hrs (Heavy ..."
118,4.4,"First time I have purchased a laptop which had no reviews at all in Flipkart, but just gone thru the specs and details mentioned on website. These specs are awesome at this price, mostly you get all pros in terms of light weight, premium finish, and speed.
Very few cons it have like no extra RAM slot but you can replace with 32GB RAM, No MS office and Low speaker volume due to speakers located under the laptop.

Great to buy, got this at 40,990 at BBD"
119,4.2,"After all the specs u already know....and after using it continuously for a day....let's dive into performance

It is a beast....installed all the softwares of need....plus autocad and revit....for those who don't know about this.... it's an Engineering related software....demands very high CPU & GPU....and it was opening the zipped files like hot knife through butter...and then performing smoothly....for anyone with doubt about it....Go for it !!8

Then installed GTA V....of course had to......"
120,4.6,"One of the best if you are looking out for a laptop for coding.
I have tried running SOLR servers and working parrallel with tomcat servers running on eclipse and it works damn smooth.

Programmers don't hesitate until and unless you are looking out for ML and AI which eventually requires server with GPU only.

I upgraded the RAM to 16 GB for some additional tasks but even 8 GB is enough for ample coding stuff.

Display is decent.


Cons
Build is not strong
Buy external keyboard as keyboard i..."
121,4.5,Good product in this price ...
122,4.3,"What an amazing performance. Buttery smooth. i7 with 16gb ram and 1tb ssd is a killer combination. If you're not a heavy gamer, this is a straight no brainer. No other laptop matches this price to performance / spec ratio.

- Boots up in less than 5 seconds
- Plays anything effortlessly
- Good SSD write speed. Was able to transfer files worth 45gb in less than 5 mins from ext hdd at an average speed of 115mbps
- Good display with good viewing angles.
- Great typing experience although visibi..."
123,4.1,A good laptop for college student ..average battery life ..semi metallic body.and the sound quality is very good.there is no heating issue while normal performance like coding and all...got it for 64000 during laptop sale....in this budget very good fully packed laptop ..it has another cool feature that is privacy shutter on web cam.....overall a good laptop. Can go for it if u r a college student
124,4.4,"Webcam quality is extremely poor. Build quality is poor. Keyboard is mediocre. If you have large hands like me than avoid this laptop. Always check product like laptop in person that you will be using on daily basis for personal and professional purposes before making purchase.

This laptop is not recommended for coding purposes. Keyboard is extremely fragile.

Laptop body is magnet for greasy smudges. Better opt for metal body laptop."
125,4.3,"Best product for those who loves cute laptop
Very smooth performance
Best sound quality
Built quality 10/10
it takes below 2 hours for full charge. And lasts for 20 hours for normal use"
126,4.5,"One of the best Laptop in this range. It is best in every types of uses.
Gaming performance is awesome 😎❤️❤️
Perfect product and is Valuable for money."
127,4.7,The design is good to reduce the heating of laptop along with the turbo mode. Performance is good and best thing is144hz refresh rate and dtsx sound system.
128,4.5,"Everything is cool to have this laptop for 51k but too heavy to carry outdoor.
Performance is good and charger weights approximate to the laptop's weight and charging is too delayed for 3hrs.
But works very smart with the latest features."
